id,module,module_path,procedure,static_classification,inventory_classification,inventory_decision,user_document_references,disposition,rationale
CompareFramework_API.CF_ExportLastReportHTML,CompareFramework_API,CompareFramework_API.bas,CF_ExportLastReportHTML,zero-caller-review,official-api,keep-public,docs/API_REFERENCE.md;STEP4_INTERACTIVE_CHECKLIST.md,keep-public-api,Explicit official API contract requires Public visibility.
CompareFramework_API.CF_OpenSettings,CompareFramework_API,CompareFramework_API.bas,CF_OpenSettings,zero-caller-review,official-api,keep-public,docs/API_REFERENCE.md,keep-public-api,Explicit official API contract requires Public visibility.
CompareFramework_API.CF_RunDiagnostics,CompareFramework_API,CompareFramework_API.bas,CF_RunDiagnostics,zero-caller-review,official-api,keep-public,docs/API_REFERENCE.md,keep-public-api,Explicit official API contract requires Public visibility.
CompareFramework_API.CF_RunReleaseValidation,CompareFramework_API,CompareFramework_API.bas,CF_RunReleaseValidation,zero-caller-review,official-api,keep-public,docs/API_REFERENCE.md,keep-public-api,Explicit official API contract requires Public visibility.
CompareFramework_API.CF_RunStandardComparison,CompareFramework_API,CompareFramework_API.bas,CF_RunStandardComparison,zero-caller-review,official-api,keep-public,docs/API_REFERENCE.md,keep-public-api,Explicit official API contract requires Public visibility.
CompareFramework_API.CF_StartReferenceComparison,CompareFramework_API,CompareFramework_API.bas,CF_StartReferenceComparison,zero-caller-review,official-api,keep-public,docs/API_REFERENCE.md;STEP4_INTERACTIVE_CHECKLIST.md,keep-public-api,Explicit official API contract requires Public visibility.
CompareFramework_Main.CF_RunAudited,CompareFramework_Main,CompareFramework_Main.bas,CF_RunAudited,zero-caller-review,module-internal-candidate,candidate-private-after-regression,README.md;docs/USER_GUIDE.md,documentation-conflict-review,"Inventory suggests privatization, but user-facing documentation still references the procedure; documentation and contract must be reconciled first."
CompareFramework_Main.ComparerToutesLesFeuilles_Legacy,CompareFramework_Main,CompareFramework_Main.bas,ComparerToutesLesFeuilles_Legacy,zero-caller-review,module-internal-candidate,candidate-private-after-regression,README.md,documentation-conflict-review,"Inventory suggests privatization, but user-facing documentation still references the procedure; documentation and contract must be reconciled first."
CompareFramework_Main.CF_RunMilestoneB_ConfigTests,CompareFramework_Main,CompareFramework_Main.bas,CF_RunMilestoneB_ConfigTests,zero-caller-review,maintenance-test,review-public-maintenance,,maintenance-entrypoint-review,Maintenance/test entry point requires an explicit lifecycle decision.
CompareFramework_Tests.CF_RunMilestoneBTests,CompareFramework_Tests,CompareFramework_Tests.bas,CF_RunMilestoneBTests,zero-caller-review,maintenance-test,review-public-maintenance,,maintenance-entrypoint-review,Maintenance/test entry point requires an explicit lifecycle decision.
